id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_plm_category_requester,plm.category,plm.model_plm_category,plm.group_engineering_change_request_requester,1,0,0,0
access_plm_category_reviewer,plm.category,plm.model_plm_category,plm.group_engineering_change_request_reviewer,1,0,0,0
access_plm_category_approver,plm.category,plm.model_plm_category,plm.group_engineering_change_request_approver,1,0,0,0
access_plm_category_member,plm.category,plm.model_plm_category,plm.group_engineering_change_request_member,1,0,0,0
access_plm_category_manager,plm.category,plm.model_plm_category,plm.group_engineering_change_request_manager,1,1,1,1
access_engineering_change_request_acceptance_requester,engineering.change.request.acceptance,plm.model_engineering_change_request_acceptance,plm.group_engineering_change_request_requester,1,1,1,1
access_engineering_change_request_acceptance_reviewer,engineering.change.request.acceptance,plm.model_engineering_change_request_acceptance,plm.group_engineering_change_request_reviewer,1,1,1,1
access_engineering_change_request_acceptance_approver,engineering.change.request.acceptance,plm.model_engineering_change_request_acceptance,plm.group_engineering_change_request_approver,1,1,1,1
access_engineering_change_request_acceptance_member,engineering.change.request.acceptance,plm.model_engineering_change_request_acceptance,plm.group_engineering_change_request_member,1,1,1,1
access_engineering_change_request_acceptance_manager,engineering.change.request.acceptance,plm.model_engineering_change_request_acceptance,plm.group_engineering_change_request_manager,1,1,1,1
access_engineering_change_order_requester,engineering.change.order,model_engineering_change_order,plm.group_engineering_change_request_requester,1,1,1,1
access_engineering_change_order_reviewer,engineering.change.order,model_engineering_change_order,plm.group_engineering_change_request_reviewer,1,0,0,0
access_engineering_change_order_approver,engineering.change.order,model_engineering_change_order,plm.group_engineering_change_request_approver,1,0,0,0
access_engineering_change_order_manager,engineering.change.order,model_engineering_change_order,plm.group_engineering_change_request_manager,1,1,1,1
access_engineering_change_order_member,engineering.change.order,model_engineering_change_order,plm.group_engineering_change_request_member,1,0,0,0
access_plm_team_requester,plm.team,model_plm_team,plm.group_engineering_change_request_requester,1,0,0,0
access_plm_team_reviewer,plm.team,model_plm_team,plm.group_engineering_change_request_reviewer,1,0,0,0
access_plm_team_approver,plm.team,model_plm_team,plm.group_engineering_change_request_approver,1,0,0,0
access_plm_team_manager,plm.team,model_plm_team,plm.group_engineering_change_request_manager,1,1,1,1
access_plm_team_member,plm.team,model_plm_team,plm.group_engineering_change_request_member,1,0,0,0
access_engineering_change_request_requester,engineering.change.request,plm.model_engineering_change_request,plm.group_engineering_change_request_requester,1,1,1,1
access_engineering_change_request_reviewer,engineering.change.request,plm.model_engineering_change_request,plm.group_engineering_change_request_reviewer,1,1,0,0
access_engineering_change_request_approver,engineering.change.request,plm.model_engineering_change_request,plm.group_engineering_change_request_approver,1,1,0,1
access_engineering_change_request_manager,engineering.change.request,plm.model_engineering_change_request,plm.group_engineering_change_request_manager,1,1,1,1
access_engineering_change_request_member,engineering.change.request,plm.model_engineering_change_request,plm.group_engineering_change_request_member,1,0,0,0
access_ir_rule_requester,ir.rule,base.model_ir_rule,plm.group_engineering_change_request_requester,1,0,0,0
access_ir_config_parameter_requester,ir.config_parameter,base.model_ir_config_parameter,plm.group_engineering_change_request_requester,1,0,0,0
access_ir_module_module_requester,ir.module.module,base.model_ir_module_module,plm.group_engineering_change_request_requester,1,0,0,0
access_plm_reason_requester,plm.reason,model_plm_reason,plm.group_engineering_change_request_requester,1,0,0,0
access_plm_reason_reviewer,plm.reason,model_plm_reason,plm.group_engineering_change_request_reviewer,1,0,0,0
access_plm_reason_approver,plm.reason,model_plm_reason,plm.group_engineering_change_request_approver,1,0,0,0
access_plm_reason_manager,plm.reason,model_plm_reason,plm.group_engineering_change_request_manager,1,1,1,1
access_plm_reason_member,plm.reason,model_plm_reason,plm.group_engineering_change_request_member,1,0,0,0
